LocationName,ProductCount,LocationStockAvailable,ProductsBelowAlertPoint,ProductsOutOfStock,AvgCostPrice,AvgRetailPrice,LocationTotalCostValue,LocationTotalRetailValue,TotalProductCount,TotalLocationStockAvailable,TotalProductsBelowAlertPoint,TotalProductsOutOfStock,TotalAvgCostPrice,TotalAvgRetailPrice,TotalLocationTotalCostValue,TotalLocationTotalRetailValue
Scanlon Hair,189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70",189,316.00,21,34,19.19,34.86,"1,000.51","11,884.70"

ProductName,SkuHandle,ProductLocation,StockAvailable,ReorderAlertThreshold,Textbox49,UnitCostPrice,UnitRetailPrice,TotalCostValue,TotalRetailValue,TotalStockAvailable,Textbox50,TotalUnitCostPrice,TotalUnitRetailPrice,TotalTotalCostValue,TotalTotalRetailValue
BaBylissPRO Ceramic Curling Iron 16mm,9338841008413,Scanlon Hair,Unlimited,,5.00,,55.00,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
Brushworx Ceramic Brush BB-2,9325024014682,Scanlon Hair,2.00,,2.63,,28.95,,57.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
Cricket Thermal Static Free Brush 38,672555118792,Scanlon Hair,1.00,,2.36,,25.95,,25.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
Cricket Thermal Static Free Brush 53,672555118815,Scanlon Hair,1.00,,2.72,,29.95,,29.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
EVY QuadTech Brush 33mm,9345892000228,Scanlon Hair,0.00,,4.09,,44.95,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
EVY QuadTech Brush 43mm,9345892000204,Scanlon Hair,0.00,,4.09,,44.95,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
EVY QuadTech Brush 53mm,9345892000198,Scanlon Hair,0.00,,4.09,,44.95,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
EVY Schima Mixed Bristle Round Brush 25mm,9345892000266,Scanlon Hair,1.00,,4.54,,49.95,,49.95,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
EVY Schima Mixed Bristle Round Brush 30mm,9345892000273,Scanlon Hair,2.00,,4.54,,49.95,,99.90,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
EVY Schima Mixed Bristle Round Brush 40mm ,9345892000280,Scanlon Hair,0.00,,4.54,,49.95,,0.00,316.00,570.07,498.94,"6,553.65","1,000.51","11,884.70"
