Textbox3,Textbox56,Textbox61,Textbox64,Textbox21,Textbox79,Textbox84,Textbox87,Textbox90,Textbox22,Textbox93,Name1,Handle,StartingStock1,NewStock1,Return1,Transfer1,AdjustmentIncrease1,OtherIncrease1,InternalUse1,Damaged1,OutOfDate1,Sold1,Removed1,AdjustmentDecrease,Textbox24,OtherDecrease1,EndStock1,Textbox7,Textbox8,Textbox9,Textbox10,Textbox11,Textbox12,Textbox13,Textbox14,Textbox15,Textbox16,Textbox17,Textbox18,Textbox25,Textbox19,Textbox20
,,,,,,,,,,,Brushworx Ceramic Brush BB-2,9325024014682,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Cricket Thermal Static Free Brush 38,672555118792,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Cricket Thermal Static Free Brush 53,672555118815,2,,,,,,,,,,,1,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY QuadTech Brush 33mm,9345892000228,-1,,,,,1,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY QuadTech Brush 43mm,9345892000204,-1,,,,,1,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY QuadTech Brush 53mm,9345892000198,-1,,,,,1,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY Schima Mixed Bristle Round Brush 25mm,9345892000266,,,,,2,,,,,,,1,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY Schima Mixed Bristle Round Brush 30mm,9345892000273,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,GHD Platinum Styler,5060356733156,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,GHD Style Final Shine Spray 100ml,5060034527442,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,GHD V Gold Styler Gift Set,5060034520092,-4,,,,7,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Latino Keratin Infused Conditioner  470ml,9342495000310,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Latino Keratin Infused Shampoo  470ml,9342495000303,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Blue Ocean Cruise,3474630627178,3,,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Bronze Beach,3474630627291,3,,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Coral Sunset,3474630627130,4,,,,,,,,,,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml First Date Violet,3474630627475,3,,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Garden Party,,1,,,,,,,,,,,,,1,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Sweet Sixteen Pink,3474630627215,2,,,,,,,,,,,,,1,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch Up Black 75ml,3474630698000,,,,,4,,,,,1,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch Up Brown 75ml,3474630698185,-16,1,,,19,,,,,2,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
