"id","created_at","updated_at","supplier","barcode","product_range","display_name","order_name","supplier_sequence","discontinued","product_usage","current_max_stock","current_stock_available","current_cost_price","current_retail_price"
"1","2018-10-14 12:38:31","2018-10-14 12:38:31","Unknown","9338841008413","Unknown","BaBylissPRO Ceramic Curling Iron 16mm","","","0","",\N,\N,\N,"55.00"
"2","2018-10-14 12:38:31","2018-10-15 10:37:17","Unknown","9325024014682","Unknown","Brushworx Ceramic Brush BB-2","","","0","",\N,"2",\N,"28.95"
"3","2018-10-14 12:38:31","2018-10-15 10:37:17","Unknown","672555118792","Unknown","Cricket Thermal Static Free Brush 38","","","0","",\N,"1",\N,"25.95"
"4","2018-10-14 12:38:31","2018-10-15 10:37:17","Unknown","672555118815","Unknown","Cricket Thermal Static Free Brush 53","","","0","",\N,"1",\N,"29.95"
"5","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630441897","Dia Light","Dia Light 10,12","","04.02.38","0","Professional","2","2",\N,"0.00"
"6","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630441965","Dia Light","Dia Light 10,13","","04.02.39","0","Professional","1","1",\N,"0.00"
"7","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630537378","Dia Light","Dia Light 10,21","","04.02.40","0","Professional","1","1",\N,"0.00"
"8","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630687455","Dia Light","Dia Light 10,22","","04.02.41","0","Professional","1","0",\N,"0.00"
"9","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630480872","Dia Light","Dia Light 10,32","","04.02.42","0","Professional","1","0",\N,"0.00"
"10","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399891","Dia Light","Dia Light 4","","04.02.02","0","Professional","0","1",\N,"0.00"
"11","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630401808","Dia Light","Dia Light 4,65","","04.02.03","0","Professional","1","0",\N,"0.00"
"12","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630442061","Dia Light","Dia Light 5","","04.02.04","0","Professional","1","3",\N,"0.00"
"13","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630570948","Dia Light","Dia Light 5,12","","04.02.05","0","Professional","1","1",\N,"0.00"
"14","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","","Dia Light","Dia Light 5,4","","04.02.06","0","Professional","1","0",\N,"0.00"
"15","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630401907","Dia Light","Dia Light 5,66","","04.02.07","0","Professional","1","2",\N,"0.00"
"16","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630687752","Dia Light","Dia Light 5,8","","04.02.08","0","Professional","1","1",\N,"0.00"
"17","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630399990","Dia Light","Dia Light 6","","04.02.09","0","Professional","1","2",\N,"0.00"
"18","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630571044","Dia Light","Dia Light 6,1","","04.02.10","0","Professional","1","1",\N,"0.00"
"19","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636588275","Dia Light","Dia Light 6,11","","04.02.11","0","Professional","1","1",\N,"0.00"
"20","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400900","Dia Light","Dia Light 6,3","","04.02.12","0","Professional","1","1",\N,"0.00"
"21","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","","Dia Light","Dia Light 6,34","","04.02.13","0","Professional","1","0",\N,"0.00"
"22","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630442160","Dia Light","Dia Light 7","","04.02.14","0","Professional","1","1",\N,"0.00"
"23","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636588329","Dia Light","Dia Light 7,11","","04.02.15","0","Professional","1","1",\N,"0.00"
"24","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630537170","Dia Light","Dia Light 7,12","","04.02.16","0","Professional","1","1",\N,"0.00"
"25","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474636588374","Dia Light","Dia Light 7,18","","04.02.17","0","Professional","1","1",\N,"0.00"
"26","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630537071","Dia Light","Dia Light 7,23","","04.02.18","0","Professional","1","1",\N,"0.00"
"27","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630401006","Dia Light","Dia Light 7,31","","04.02.19","0","Professional","1","2",\N,"0.00"
"28","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","","Dia Light","Dia Light 7,35","","04.02.20","0","Professional","1","0",\N,"0.00"
"29","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630536975","Dia Light","Dia Light 7,4","","04.02.21","0","Professional","1","1",\N,"0.00"
"30","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630401709","Dia Light","Dia Light 7,43","","04.02.22","0","Professional","1","1",\N,"0.00"
"31","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630687950","Dia Light","Dia Light 7,8","","04.02.23","0","Professional","1","1",\N,"0.00"
"32","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400092","Dia Light","Dia Light 8","","04.02.24","0","Professional","1","1",\N,"0.00"
"33","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630571143","Dia Light","Dia Light 8,1","","04.02.25","0","Professional","1","1",\N,"0.00"
"34","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630570740","Dia Light","Dia Light 8,23","","04.02.26","0","Professional","1","1",\N,"0.00"
"35","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400290","Dia Light","Dia Light 8,3","","04.02.27","0","Professional","1","1",\N,"0.00"
"36","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400702","Dia Light","Dia Light 8,34","","04.02.28","0","Professional","1","1",\N,"0.00"
"37","2018-10-14 12:38:31","2018-10-15 10:37:17","L'Oreal","3474630400504","Dia Light","Dia Light 9,01","","04.02.29","0","Professional","1","1",\N,"0.00"
